username,mbti,tanggal,jurusan_1,score_1,jurusan_2,score_2,jurusan_3,score_3
,INFJ,2025-06-11 09:59:08,Teknik Informatika,95.53,Fisika,95.53,Teknik Geologi,95.16
alya,INFJ,2025-06-11 15:01:26,"& C:/Users/Lenovo/AppData/Local/Programs/Python/Python313/python.exe ""c:/Users/Lenovo/OneDrive/Documents/KULIAH SEMESTER 2/ALGO/ALGO PROJECT/whattt.py""",102.72,Teknik Informatika,98.62,Fisika,98.62
alya,INTJ,2025-06-11 18:11:56,Sistem Informasi,101.39,Fisika,100.13,Teknik Perminyakan,99.89
alya,INTJ,2025-06-11 18:18:42,Sistem Informasi,100.53,Teknik Perminyakan,100.01,Fisika,99.73
alya,INTJ,2025-06-13 11:16:11,Sistem Informasi,100.22,Fisika,99.52,Teknik Perminyakan,99.4
alya,INTJ,2025-06-13 11:18:14,Fisika,90.73,Teknik Perminyakan,90.73,Manajemen,89.64
alya,INTJ,2025-06-13 12:34:13,Sistem Informasi,101.54,Sistem Informasi,101.27,Sistem Informasi,101.18
allya,INTJ,2025-06-13 12:39:58,Fisika,21.0,Teknik Perminyakan,20.38,Teknik Sipil,16.0
allya,INTJ,2025-06-13 12:41:37,Teknik Perminyakan,98.76,Fisika,98.65,Teknik Industri,95.37
allya,INTJ,2025-06-13 12:52:39,Teknik Sipil,98.64,Fisika,98.59,Teknik Industri,98.54
allya,INTJ,2025-06-13 12:56:41,Fisika,101.01,Teknik Sipil,100.63,Teknik Perminyakan,100.34
allya,INTJ,2025-06-13 12:58:43,Fisika,100.87,Teknik Perminyakan,100.56,Teknik Sipil,100.44
allya,INTJ,2025-06-13 13:18:06,Fisika,100.10,Teknik Sipil,99.55,Teknik Industri,98.83
